2026020822001410681417709518	,P18M6666031260208991039558564	,2026-02-08 13:28:41 ,2026-02-08 13:28:43 ,2026-02-08 13:28:43 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,盒马              ,【炖煮季】当季新鲜黄心土豆 约500g等3类商品,126.89  ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026020622001410681410111211	,2026020600003100006867197591	,2026-02-06 09:41:43 ,2026-02-06 09:41:49 ,2026-02-06 09:41:53 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,中国移动            ,为13871709570话费充值    ,50.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026013122001110681446056574	,13130600726013105941714265562	,2026-01-31 13:13:28 ,2026-01-31 13:13:40 ,2026-01-31 13:30:46 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,麸塬粥饼·家常菜大寨路店外卖订单    ,45.90   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026013122001110681446898459	,13130600726013105941715265562	,2026-01-31 13:13:28 ,2026-01-31 13:13:40 ,2026-01-31 13:13:42 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,超级吃货卡               ,0.10    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026012422001110681419652697	,13190600726012480567572265562	,2026-01-24 19:31:01 ,2026-01-24 19:31:09 ,2026-01-24 20:02:52 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,云阿蛮生烫牛肉米线(丈八北路店)外卖订单,20.60   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
20260119200040011100680048814231	,                    	,2026-01-19 17:36:37 ,2026-01-19 17:36:46 ,2026-01-19 17:36:46 ,支付宝网站     ,即时到账交易          ,Peanut(张欢)      ,1 月生活费              ,1000.00 ,支出      ,交易成功    ,0.00     ,0.00     ,1 月生活费              ,已支出      ,
2026011823001110681453582672	,13090600726011872583278265562	,2026-01-18 09:32:30 ,2026-01-18 09:32:36 ,2026-01-18 10:21:13 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,盒马鲜生(大茂城店)          ,60.50   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026011622001110681449207526	,13200600726011623530936265562	,2026-01-16 20:11:16 ,2026-01-16 20:11:33 ,2026-01-16 21:14:16 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,盒马鲜生(大茂城店)          ,70.61   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
20260112200040011100680046006647	,                    	,2026-01-12 17:45:11 ,2026-01-12 17:46:56 ,2026-01-12 17:46:56 ,支付宝网站     ,即时到账交易          ,冰朔(*蓓)          ,驱虫药，半年              ,240.00  ,支出      ,交易成功    ,0.00     ,0.00     ,驱虫药，半年              ,已支出      ,
2026011022001110681418243616	,13220600726011070044290265562	,2026-01-10 22:29:27 ,2026-01-10 22:29:40 ,2026-01-11 08:41:57 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,盒马鲜生(大茂城店)          ,48.70   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026010222001410681443075398	,17673550000802999110685	,2026-01-02 19:56:40 ,2026-01-02 19:56:47 ,2026-01-02 19:56:47 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,芙蓉兴盛            ,收钱码收款               ,6.86    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026010222001110681439542501*13090601326010242216746265562	,13090601326010242216746265562	,2026-01-02 09:21:48 ,2026-01-02 09:21:48 ,2026-01-02 09:21:48 ,淘宝        ,即时到账交易          ,淘宝闪购            ,退款-盒马鲜生(大茂城店)       ,0.21    ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,         ,
2026010222001110681439542501	,13000600726010262548624265562	,2026-01-02 00:57:45 ,2026-01-02 00:58:04 ,2026-01-02 09:21:41 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,盒马鲜生(大茂城店)          ,159.58  ,不计收支    ,交易成功    ,0.00     ,0.21     ,                    ,         ,
------------------------------------------------------------------------------------
共97笔记录
已收入:2笔,22.04元
待收入:0笔,0.00元
已支出:55笔,10350.36元
待支出:0笔,0.00元
导出时间:[2026-06-13 21:12:05]    用户:李露露
